number,value,datetime_start,datetime_complete,duration,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,state
61,-0.6081982030239713,2026-05-08 11:23:01.657600,2026-05-08 11:23:01.752412,0 days 00:00:00.094812,3,0.05,0.01,0.6,0.16,30,20,0.5,,,,,PRUNED
62,-0.5953175384698193,2026-05-08 11:23:01.761065,2026-05-08 11:23:01.849001,0 days 00:00:00.087936,3,0.05,0.01,0.45,0.08,50,10,0.8,,,,,PRUNED
63,-0.578969099929025,2026-05-08 11:23:01.858188,2026-05-08 11:23:02.011372,0 days 00:00:00.153184,3,0.05,0.01,0.6,0.08,50,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
64,-0.6038900871162599,2026-05-08 11:23:02.019466,2026-05-08 11:23:02.115926,0 days 00:00:00.096460,3,0.05,0.01,0.6,0.12,30,10,0.5,,,,,PRUNED
65,-0.6097036268649256,2026-05-08 11:23:02.123605,2026-05-08 11:23:02.218424,0 days 00:00:00.094819,3,0.03,0.01,0.6,0.12,30,20,0.5,,,,,PRUNED
66,-0.578969099929025,2026-05-08 11:23:02.226630,2026-05-08 11:23:02.394420,0 days 00:00:00.167790,3,0.05,0.01,0.6,0.08,20,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
67,-0.578969099929025,2026-05-08 11:23:02.402514,2026-05-08 11:23:02.573389,0 days 00:00:00.170875,3,0.05,0.01,0.6,0.08,50,20,0.8,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
68,-0.6150092699411038,2026-05-08 11:23:02.587102,2026-05-08 11:23:02.707979,0 days 00:00:00.120877,3,0.03,0.01,0.6,0.08,30,10,0.5,,,,,PRUNED
69,-0.5957511125305064,2026-05-08 11:23:02.719633,2026-05-08 11:23:02.818124,0 days 00:00:00.098491,3,0.05,0.02,0.6,0.08,50,10,0.5,,,,,PRUNED
70,-0.578969099929025,2026-05-08 11:23:02.825916,2026-05-08 11:23:02.976618,0 days 00:00:00.150702,3,0.05,0.01,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
71,-0.578969099929025,2026-05-08 11:23:02.985077,2026-05-08 11:23:03.138435,0 days 00:00:00.153358,3,0.05,0.02,0.6,0.08,30,20,0.5,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
72,-0.5795032069711458,2026-05-08 11:23:03.149122,2026-05-08 11:23:03.339171,0 days 00:00:00.190049,3,0.05,0.02,0.45,0.08,30,20,0.65,-0.4563492756201414,0.005659615781494328,0.24630786270200875,0.4620088914016357,COMPLETE
73,-0.5928193994794824,2026-05-08 11:23:03.349075,2026-05-08 11:23:03.460914,0 days 00:00:00.111839,3,0.05,0.01,0.6,0.08,50,5,0.65,,,,,PRUNED
74,-0.6465399877762202,2026-05-08 11:23:03.469632,2026-05-08 11:23:03.565186,0 days 00:00:00.095554,3,0.05,0.02,0.6,0.16,10,20,0.5,,,,,PRUNED
75,-0.578969099929025,2026-05-08 11:23:03.573641,2026-05-08 11:23:03.758273,0 days 00:00:00.184632,3,0.05,0.02,0.6,0.08,20,20,0.65,-0.4560462215679272,0.00605337496133322,0.2458457567221957,0.4620995965292604,COMPLETE
76,-0.6405134789743206,2026-05-08 11:23:03.769986,2026-05-08 11:23:03.893958,0 days 00:00:00.123972,3,0.05,0.01,0.6,0.12,10,20,0.5,,,,,PRUNED
77,-0.5767861238051477,2026-05-08 11:23:03.904944,2026-05-08 11:23:04.032830,0 days 00:00:00.127886,4,0.05,0.02,0.6,0.08,50,20,0.5,,,,,PRUNED
78,-0.5760408379987116,2026-05-08 11:23:04.045750,2026-05-08 11:23:04.169707,0 days 00:00:00.123957,4,0.05,0.02,0.45,0.08,30,20,0.5,,,,,PRUNED
79,-0.5909179871540535,2026-05-08 11:23:04.186301,2026-05-08 11:23:04.327862,0 days 00:00:00.141561,2,0.05,0.02,0.6,0.08,30,5,0.5,,,,,PRUNED
80,-0.6081982030239713,2026-05-08 11:23:04.347369,2026-05-08 11:23:04.512607,0 days 00:00:00.165238,3,0.05,0.02,0.6,0.16,30,20,0.65,,,,,PRUNED
