timestamp,action,name,code,price,shares,position,profit,level,date,year_month,label
2015-05-08 14:44:00,止盈,500ETF,510500.XSHG,8.61,600.0,2287,199.88,-4.0,2015-05-08,2015-05,"500ETF
510500.XSHG"
2015-05-08 14:47:00,加仓,500ETF,510500.XSHG,8.267,500.0,2787,,-3.0,2015-05-08,2015-05,"500ETF
510500.XSHG"
2015-05-11 10:22:00,破顶-提前,创业板ETF易方达,159915.XSHE,2.958,,16900,,-5.0,2015-05-11,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-11 13:02:00,止盈,500ETF,510500.XSHG,8.521,600.0,2187,151.89,-4.0,2015-05-11,2015-05,"500ETF
510500.XSHG"
2015-05-11 14:30:00,止盈,创业板ETF易方达,159915.XSHE,3.056,1600.0,15300,156.31,-1.0,2015-05-11,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-12 13:49:00,止盈,500ETF,510500.XSHG,8.777,500.0,1687,127.56,-5.0,2015-05-12,2015-05,"500ETF
510500.XSHG"
2015-05-15 09:35:00,加仓,创业板ETF易方达,159915.XSHE,2.96,1600.0,16900,,0.0,2015-05-15,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-15 09:58:00,止盈,纳指ETF,513100.XSHG,1.476,3400.0,28600,149.1,-2.0,2015-05-15,2015-05,"纳指ETF
513100.XSHG"
2015-05-15 14:30:00,止盈,创业板ETF易方达,159915.XSHE,3.049,1600.0,15300,141.91,-1.0,2015-05-15,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-18 10:00:00,止盈,创业板ETF易方达,159915.XSHE,3.145,1600.0,13700,153.1,-2.0,2015-05-18,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-18 14:22:00,止盈,黄金ETF,518880.XSHG,2.46,2000.0,18600,153.51,-1.0,2015-05-18,2015-05,"黄金ETF
518880.XSHG"
2015-05-19 10:43:00,破顶-提前,500ETF,510500.XSHG,9.046,,5500,,-5.0,2015-05-19,2015-05,"500ETF
510500.XSHG"
2015-05-20 09:37:00,止盈,创业板ETF易方达,159915.XSHE,3.242,1500.0,12200,145.01,-3.0,2015-05-20,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-20 09:40:00,止盈,500ETF,510500.XSHG,9.343,500.0,4987,148.03,-1.0,2015-05-20,2015-05,"500ETF
510500.XSHG"
2015-05-21 10:15:00,止盈,创业板ETF易方达,159915.XSHE,3.341,1500.0,10700,148.0,-4.0,2015-05-21,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-21 14:35:00,止盈,500ETF,510500.XSHG,9.625,500.0,4487,140.52,-2.0,2015-05-21,2015-05,"500ETF
510500.XSHG"
2015-05-22 09:31:00,止盈,创业板ETF易方达,159915.XSHE,3.468,1400.0,9300,177.31,-5.0,2015-05-22,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-22 10:04:00,加仓,创业板ETF易方达,159915.XSHE,3.36,1400.0,10700,,-4.0,2015-05-22,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-22 14:47:00,止盈,500ETF,510500.XSHG,9.99,500.0,3987,182.0,-3.0,2015-05-22,2015-05,"500ETF
510500.XSHG"
2015-05-25 09:32:00,加仓,创业板ETF易方达,159915.XSHE,3.237,1400.0,12100,,-3.0,2015-05-25,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-25 11:13:00,止盈,创业板ETF易方达,159915.XSHE,3.336,1500.0,10600,148.0,-4.0,2015-05-25,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-26 10:23:00,止盈,创业板ETF易方达,159915.XSHE,3.438,1400.0,9200,142.32,-5.0,2015-05-26,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-26 10:36:00,止盈,500ETF,510500.XSHG,10.299,500.0,3487,153.99,-4.0,2015-05-26,2015-05,"500ETF
510500.XSHG"
2015-05-27 14:05:00,止盈,500ETF,510500.XSHG,10.639,400.0,3087,135.57,-5.0,2015-05-27,2015-05,"500ETF
510500.XSHG"
2015-05-28 14:17:00,加仓,500ETF,510500.XSHG,10.296,400.0,3487,,-4.0,2015-05-28,2015-05,"500ETF
510500.XSHG"
2015-05-28 14:49:00,加仓,创业板ETF易方达,159915.XSHE,3.334,1400.0,10600,,-4.0,2015-05-28,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-28 14:56:00,加仓,500ETF,510500.XSHG,9.98,400.0,3887,,-3.0,2015-05-28,2015-05,"500ETF
510500.XSHG"
2015-05-29 09:36:00,加仓,黄金ETF,518880.XSHG,2.386,2000.0,20600,,0.0,2015-05-29,2015-05,"黄金ETF
518880.XSHG"
2015-05-29 09:43:00,加仓,500ETF,510500.XSHG,9.633,500.0,4387,,-2.0,2015-05-29,2015-05,"500ETF
510500.XSHG"
2015-05-29 09:43:00,加仓,创业板ETF易方达,159915.XSHE,3.22,1400.0,12000,,-3.0,2015-05-29,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-29 09:51:00,止盈,500ETF,510500.XSHG,10.003,500.0,3887,184.5,-3.0,2015-05-29,2015-05,"500ETF
510500.XSHG"
2015-05-29 10:02:00,止盈,创业板ETF易方达,159915.XSHE,3.329,1500.0,10500,163.0,-4.0,2015-05-29,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-29 13:22:00,止盈,500ETF,510500.XSHG,10.333,400.0,3487,131.59,-4.0,2015-05-29,2015-05,"500ETF
510500.XSHG"
2015-05-29 13:44:00,止盈,创业板ETF易方达,159915.XSHE,3.431,1500.0,9000,152.49,-5.0,2015-05-29,2015-05,"创业板ETF易方达
159915.XSHE"
2015-05-29 14:17:00,加仓,500ETF,510500.XSHG,9.9,400.0,3887,,-3.0,2015-05-29,2015-05,"500ETF
510500.XSHG"
2015-05-29 14:36:00,加仓,创业板ETF易方达,159915.XSHE,3.317,1400.0,10400,,-4.0,2015-05-29,2015-05,"创业板ETF易方达
159915.XSHE"
2015-06-01 09:32:00,止盈,创业板ETF易方达,159915.XSHE,3.434,1500.0,8900,174.98,-5.0,2015-06-01,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-01 09:34:00,止盈,500ETF,510500.XSHG,10.2,500.0,3387,149.49,-4.0,2015-06-01,2015-06,"500ETF
510500.XSHG"
2015-06-01 13:03:00,止盈,500ETF,510500.XSHG,10.519,400.0,2987,127.18,-5.0,2015-06-01,2015-06,"500ETF
510500.XSHG"
2015-06-01 13:08:00,破顶-提前,创业板ETF易方达,159915.XSHE,3.539,,14100,,-5.0,2015-06-01,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-02 10:08:00,止盈,创业板ETF易方达,159915.XSHE,3.647,1400.0,12700,150.69,-1.0,2015-06-02,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-02 10:16:00,破顶-提前,500ETF,510500.XSHG,10.849,,4600,,-5.0,2015-06-02,2015-06,"500ETF
510500.XSHG"
2015-06-02 14:39:00,止盈,创业板ETF易方达,159915.XSHE,3.757,1300.0,11400,142.51,-2.0,2015-06-02,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-04 13:01:00,加仓,创业板ETF易方达,159915.XSHE,3.643,1300.0,12700,,-1.0,2015-06-04,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-04 13:05:00,加仓,500ETF,510500.XSHG,10.324,400.0,4987,,1.0,2015-06-04,2015-06,"500ETF
510500.XSHG"
2015-06-04 13:06:00,加仓,创业板ETF易方达,159915.XSHE,3.515,1300.0,14000,,0.0,2015-06-04,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-04 13:58:00,止盈,创业板ETF易方达,159915.XSHE,3.621,1400.0,12600,147.89,-1.0,2015-06-04,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-04 14:11:00,止盈,500ETF,510500.XSHG,10.665,400.0,4587,135.97,0.0,2015-06-04,2015-06,"500ETF
510500.XSHG"
2015-06-04 14:41:00,止盈,创业板ETF易方达,159915.XSHE,3.731,1300.0,11300,142.51,-2.0,2015-06-04,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-04 14:46:00,止盈,500ETF,510500.XSHG,11.004,400.0,4187,135.16,-1.0,2015-06-04,2015-06,"500ETF
510500.XSHG"
2015-06-05 10:04:00,止盈,创业板ETF易方达,159915.XSHE,3.843,1300.0,10000,145.1,-3.0,2015-06-05,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-05 11:13:00,加仓,创业板ETF易方达,159915.XSHE,3.725,1300.0,11300,,-2.0,2015-06-05,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-08 09:36:00,加仓,创业板ETF易方达,159915.XSHE,3.597,1300.0,12600,,-1.0,2015-06-08,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-08 10:43:00,加仓,创业板ETF易方达,159915.XSHE,3.484,1300.0,13900,,0.0,2015-06-08,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-09 10:00:00,止盈,创业板ETF易方达,159915.XSHE,3.589,1400.0,12500,146.5,-1.0,2015-06-09,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-09 11:20:00,加仓,创业板ETF易方达,159915.XSHE,3.479,1300.0,13800,,0.0,2015-06-09,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-10 11:29:00,止盈,创业板ETF易方达,159915.XSHE,3.584,1400.0,12400,146.5,-1.0,2015-06-10,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-10 13:40:00,止盈,500ETF,510500.XSHG,11.357,400.0,3787,140.75,-2.0,2015-06-10,2015-06,"500ETF
510500.XSHG"
2015-06-10 14:27:00,止盈,创业板ETF易方达,159915.XSHE,3.693,1300.0,11100,141.22,-2.0,2015-06-10,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-12 13:14:00,止盈,500ETF,510500.XSHG,11.789,400.0,3387,172.33,-3.0,2015-06-12,2015-06,"500ETF
510500.XSHG"
2015-06-15 10:38:00,加仓,创业板ETF易方达,159915.XSHE,3.582,1300.0,12400,,-1.0,2015-06-15,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-15 11:06:00,加仓,500ETF,510500.XSHG,11.431,400.0,3787,,-2.0,2015-06-15,2015-06,"500ETF
510500.XSHG"
2015-06-16 09:31:00,加仓,创业板ETF易方达,159915.XSHE,3.447,1300.0,13700,,0.0,2015-06-16,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-16 10:10:00,加仓,500ETF,510500.XSHG,11.077,400.0,4187,,-1.0,2015-06-16,2015-06,"500ETF
510500.XSHG"
2015-06-16 10:11:00,加仓,创业板ETF易方达,159915.XSHE,3.342,1400.0,15100,,1.0,2015-06-16,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-16 11:23:00,止盈,创业板ETF易方达,159915.XSHE,3.443,1400.0,13700,140.92,0.0,2015-06-16,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-17 10:14:00,加仓,500ETF,510500.XSHG,10.734,400.0,4587,,0.0,2015-06-17,2015-06,"500ETF
510500.XSHG"
2015-06-17 10:47:00,加仓,创业板ETF易方达,159915.XSHE,3.334,1400.0,15100,,1.0,2015-06-17,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-17 13:14:00,止盈,创业板ETF易方达,159915.XSHE,3.44,1400.0,13700,147.92,0.0,2015-06-17,2015-06,"创业板ETF易方达
159915.XSHE"
2015-06-17 14:00:00,止盈,500ETF,510500.XSHG,11.064,400.0,4187,131.56,-1.0,2015-06-17,2015-06,"500ETF
510500.XSHG"
