number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
55,-0.4715097098061242,2026-05-14 00:18:25.190360,2026-05-14 00:19:54.370818,0 days 00:01:29.180458,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.6,0.16,6,1,0.5,10,WIDE_V2,0.5,-0.08231424964874856,0.05590530325825173,0.7783909203147513,0.13821955290700028,,COMPLETE
56,-0.3613101416445892,2026-05-14 00:19:54.393714,2026-05-14 00:20:05.930754,0 days 00:00:11.537040,0,CAP_LAYER,0.45,SAME,0.7,2,0.05,0.01,0.6,0.12,3,1,0.5,5,ANCHOR_SATELLITE,0.5,,,,,,PRUNED
57,0.16114439090260452,2026-05-14 00:20:05.958058,2026-05-14 00:23:16.738357,0 days 00:03:10.780299,0,CAP_LAYER,0.25,SAME,0.7,2,0.03,0.01,0.6,0.12,3,1,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
58,-0.31605091683366315,2026-05-14 00:23:16.762999,2026-05-14 00:26:01.465357,0 days 00:02:44.702358,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
59,-0.31605091683366315,2026-05-14 00:26:01.487687,2026-05-14 00:26:02.074452,0 days 00:00:00.586765,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,3,1,0.5,5,WIDE_V2,0.5,-0.04781335681448906,-0.017993193791458337,0.5364751200383482,0.029820163023030723,,COMPLETE
60,-0.03058283629232919,2026-05-14 00:26:02.096387,2026-05-14 00:26:26.395188,0 days 00:00:24.298801,0,CAP_LAYER,0.45,SAME,0.9,2,0.03,0.02,0.3,0.12,3,1,0.5,20,WIDE_V2,0.5,,,,,,PRUNED
61,0.060319383577131354,2026-05-14 00:26:26.417744,2026-05-14 00:27:23.364613,0 days 00:00:56.946869,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.45,0.08,3,1,0.5,5,WIDE_V2,0.5,,,,,,PRUNED
62,0.12497523569822447,2026-05-14 00:27:23.391636,2026-05-14 00:28:58.498389,0 days 00:01:35.106753,0,CAP_LAYER,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,10,1,0.5,5,WIDE_V2,0.65,,,,,,PRUNED
63,0.17788752372415348,2026-05-14 00:28:58.521717,2026-05-14 00:30:13.688064,0 days 00:01:15.166347,0,CAP_LAYER,0.45,SAME,0.7,4,0.03,0.02,0.3,0.12,3,1,0.6,5,WIDE_V2,0.5,,,,,,PRUNED
64,-9999.0,2026-05-14 00:30:13.711756,2026-05-14 00:30:14.099376,0 days 00:00:00.387620,0,NO_NET_ADD,0.45,SAME,0.7,2,0.03,0.01,0.3,0.12,5,1,0.7,5,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
